land_id,county_id
1,902
2,1616
3,1021
4,658
5,2239
6,510
7,2640
8,1260
9,1320
10,1806
11,2862
12,160
13,2011
14,1867
15,1485
16,2545
17,1469
18,2347
19,533
20,2063
21,1048
22,1563
23,2214
24,2341
25,1280
26,1451
27,1133
28,2429
29,2007
30,2415
31,426
32,393
33,737
34,2865
35,1745
36,1150
37,2502
38,2635
39,440
40,812
41,201
42,3056
43,2410
44,401
45,1293
46,2635
47,1018
48,588
49,2765
50,2219
51,1876
52,753
53,1274
54,897
55,1819
56,1790
57,2679
58,1773
59,812
60,1012
61,2255
62,2723
63,2839
64,372
65,2255
66,1488
67,2811
68,2916
69,3043
70,168
71,1306
72,2254
73,2921
74,168
75,665
76,1204
77,2036
78,1271
79,2693
80,664
81,2964
82,201
83,218
84,1358
85,135
86,2535
87,2623
88,1305
89,3028
90,1780
91,2192
92,6
93,1443
94,1168
95,1356
96,2129
97,1405
98,513
99,871
100,473
101,262
102,1001
103,2606
104,1181
105,1151
106,2594
107,2841
108,166
109,2094
110,3070
111,2593
112,884
113,1636
114,337
115,2301
116,78
117,2650
118,892
119,1913
120,819
121,724
122,2773
123,2886
124,1323
125,2016
126,2132
127,1295
128,352
129,2997
130,1359
131,1500
132,1485
133,3008
134,2211
135,2513
136,1443
137,211
138,901
139,38
140,1008
141,2381
142,96
143,2867
144,2471
145,509
146,1142
147,3014
148,1050
149,1644
150,3082
151,1934
152,677
153,1871
154,204
155,938
156,1467
157,942
158,2416
159,2048
160,198
161,2692
162,2352
163,525
164,79
165,1954
166,243
167,1584
168,2891
169,673
170,1055
171,1008
172,2965
173,2685
174,1366
175,2978
176,2650
177,2783
178,405
179,1224
180,1840
181,1594
182,2173
183,3039
184,3068
185,1889
186,2558
187,324
188,1882
189,1246
190,491
191,1737
192,1493
193,3064
194,2149
195,227
196,1520
197,2939
198,343
199,1099
200,2107
201,943
202,590
203,703
204,906
205,2784
206,89
207,1458
208,464
209,603
210,1878
211,1225
212,3040
213,1801
214,47
215,1471
216,2987
217,1345
218,3052
219,12
220,1919
221,2560
222,1409
223,834
224,2296
225,2305
226,2424
227,1532
228,12
229,675
230,2534
231,1028
232,2988
233,2284
234,324
235,368
236,2016
237,1482
238,584
239,2244
240,1477
241,1885
242,537
243,2859
244,814
245,1017
246,1913
247,1432
248,763
249,569
250,2544
251,1075
252,3101
253,816
254,2249
255,448
256,1908
257,520
258,2834
259,766
260,1718
261,2962
262,2532
263,986
264,1429
265,1238
266,261
267,1092
268,2384
